#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: Forw-gain; Theta= 0; Phi= 0
#Freq [MHz]	Tot-gain [dBi]
20	4.69
20.5	5.26
21	5.8
21.5	6.27
22	6.68
22.5	7.03
23	7.33
23.5	7.57
24	7.76
24.5	7.91
25	8.03
25.5	8.12
26	8.19
26.5	8.24
27	8.27
27.5	8.3
28	8.32
28.5	8.33
29	8.34
29.5	8.35
30	8.35
30.5	8.35
31	8.35
31.5	8.35
32	8.34
32.5	8.34
33	8.33
33.5	8.33
34	8.32
34.5	8.32
35	8.32
35.5	8.32
36	8.32
36.5	8.32
37	8.32
37.5	8.32
38	8.32
38.5	8.32
39	8.33
39.5	8.33
40	8.33
40.5	8.33
41	8.34
41.5	8.34
42	8.34
42.5	8.35
43	8.35
43.5	8.36
44	8.36
44.5	8.37
45	8.37
45.5	8.37
46	8.38
46.5	8.38
47	8.39
47.5	8.39
48	8.39
48.5	8.39
49	8.4
49.5	8.4
50	8.4
50.5	8.4
51	8.4
51.5	8.4
52	8.4
52.5	8.4
53	8.4
53.5	8.4
54	8.4
54.5	8.39
55	8.39
55.5	8.39
56	8.38
56.5	8.38
57	8.37
57.5	8.37
58	8.36
58.5	8.36
59	8.35
59.5	8.34
60	8.33
60.5	8.33
61	8.32
61.5	8.31
62	8.3
62.5	8.29
63	8.28
63.5	8.27
64	8.26
64.5	8.24
65	8.23
65.5	8.22
66	8.21
66.5	8.19
67	8.18
67.5	8.16
68	8.15
68.5	8.13
69	8.12
69.5	8.1
70	8.08
70.5	8.06
71	8.05
71.5	8.03
72	8.01
72.5	7.99
73	7.97
73.5	7.95
74	7.92
74.5	7.9
75	7.88
75.5	7.86
76	7.83
76.5	7.81
77	7.79
77.5	7.76
78	7.73
78.5	7.71
79	7.68
79.5	7.66
80	7.63
80.5	7.6
81	7.58
81.5	7.55
82	7.52
82.5	7.49
83	7.46
83.5	7.43
84	7.41
84.5	7.38
85	7.35
85.5	7.32
86	7.29
86.5	7.27
87	7.24
87.5	7.21
88	7.18
88.5	7.16
89	7.13
89.5	7.1
90	7.08
