#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: S W R (Z0 = 50 ohm)
#Freq [MHz]	S W R [SWR]
20	213.372026374754
20.5	197.480749833922
21	180.60561948676
21.5	163.062055787302
22	145.310386790406
22.5	127.873648686414
23	111.243677709562
23.5	95.8087989382055
24	81.8318300501721
24.5	69.4375158126502
25	58.6366564982529
25.5	49.356947102952
26	41.4725004647845
26.5	34.8342348236054
27	29.284722734652
27.5	24.6712388104287
28	20.8537398773846
28.5	17.7072581617764
29	15.1229680793672
29.5	13.0079003209055
30	11.2831660468789
30.5	9.88235462250685
31	8.75020426976995
31.5	7.84064677269917
32	7.11567354860914
32.5	6.54358591000747
33	6.0982022640484
33.5	5.75779290305954
34	5.50425680825241
34.5	5.32251010153332
35	5.19977732897165
35.5	5.12547972943641
36	5.09060547802895
36.5	5.0877094243016
37	5.11043787617217
37.5	5.15356721926454
38	5.21272825612764
38.5	5.28422793549876
39	5.36506676110932
39.5	5.45273023400373
40	5.54516156391145
40.5	5.6407454712083
41	5.73799444590553
41.5	5.83581879446987
42	5.93321414540154
42.5	6.02945538521251
43	6.12386557151975
43.5	6.21595217318999
44	6.30526601403779
44.5	6.39144560707596
45	6.47424218895873
45.5	6.55331380858519
46	6.62868122141592
46.5	6.70006401107086
47	6.76736023427072
47.5	6.83045258443126
48	6.88935975636041
48.5	6.94390109118604
49	6.99423957571563
49.5	7.04019124632485
50	7.08191066615216
50.5	7.11930278427707
51	7.15247502408952
51.5	7.18155286683173
52	7.2063786350765
52.5	7.2272368552601
53	7.24411095361055
53.5	7.25700382034305
54	7.26615016643935
54.5	7.2715686288044
55	7.27340262221311
55.5	7.2716544367449
56	7.26654043016907
56.5	7.25810233050839
57	7.2464678480887
57.5	7.23175339628007
58	7.2140569503853
58.5	7.19353290187566
59	7.17023506623177
59.5	7.1442667847574
60	7.11576331632537
60.5	7.08483008258432
61	7.05154556656665
61.5	7.0160221056345
62	6.97836445817495
62.5	6.93867216227584
63	6.89702580202383
63.5	6.85351514986693
64	6.80825737102599
64.5	6.76131324420315
65	6.71273983625654
65.5	6.66263146997667
66	6.6110727091969
66.5	6.55812193439882
67	6.50383866296043
67.5	6.44829268808266
68	6.39157455792991
68.5	6.33373087971803
69	6.27478621544535
69.5	6.21485208087565
70	6.15395479238829
70.5	6.09217422280364
71	6.02954276596015
71.5	5.9661018401187
72	5.90189640941459
72.5	5.83700396355482
73	5.77142293332379
73.5	5.70522831093816
74	5.63844972508724
74.5	5.57116173160291
75	5.50339039447222
75.5	5.43515062564794
76	5.36652690859798
76.5	5.29754977447622
77	5.22826527070341
77.5	5.15871352222087
78	5.08893220913911
78.5	5.01898803675276
79	4.948901433231
79.5	4.87876400881509
80	4.80859408271438
80.5	4.73846042317
81	4.66842859093249
81.5	4.59851882248783
82	4.52880906675643
82.5	4.45935926355496
83	4.3902105818452
83.5	4.32143404193748
84	4.25306736751522
84.5	4.18520160739468
85	4.11790316857398
85.5	4.0512179266645
86	3.98519517932752
86.5	3.91990891556006
87	3.85543586509091
87.5	3.79184641678371
88	3.72918014276094
88.5	3.66750305220504
89	3.60686034040322
89.5	3.54735215980592
90	3.48899087184194
