#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: Z-in (magn)
#Freq [MHz]	Z-in (magn) [ohm]
20	109.531429041937
20.5	104.011745829209
21	98.647598727002
21.5	93.4284509918151
22	88.3427841829767
22.5	83.3808057899418
23	78.5332590653514
23.5	73.7918373701617
24	69.1486976250233
24.5	64.5966860882321
25	60.1292702741352
25.5	55.7402856143239
26	51.424309252936
26.5	47.176656878698
27	42.9933510964196
27.5	38.8714856775297
28	34.8096563546396
28.5	30.808827909708
29	26.8733352089483
29.5	23.0141085467154
30	19.2540471962546
30.5	15.6411720521705
31	12.2820838516475
31.5	9.42761798504797
32	7.64325508029792
32.5	7.69912168593431
33	9.55927983389962
33.5	12.4408589602366
34	15.7993152172017
34.5	19.3952657238822
35	23.12643179481
35.5	26.9454253380792
36	30.8295027896981
36.5	34.7668309376912
37	38.7519466809088
37.5	42.7823816939871
38	46.8577571641025
38.5	50.9788060128913
39	55.147214725859
39.5	59.3652098381704
40	63.6355572253438
40.5	67.9612699296445
41	72.345093908364
41.5	76.7911999190011
42	81.3027462565072
42.5	85.883835286566
43	90.5383674677758
43.5	95.2703039834029
44	100.083900210024
44.5	104.983278453904
45	109.973230490924
45.5	115.05663508829
46	120.239750443187
46.5	125.525347701132
47	130.916924381991
47.5	136.418390067065
48	142.033431166609
48.5	147.763471511906
49	153.612835361535
49.5	159.580808985166
50	165.669837684021
50.5	171.878689481739
51	178.206097210617
51.5	184.651156291776
52	191.205759939391
52.5	197.867067219383
53	204.625376358848
53.5	211.470745553611
54	218.391003624234
54.5	225.369397904862
55	232.388316616821
55.5	239.424873237932
56	246.45490425025
56.5	253.447446816889
57	260.372503565565
57.5	267.192711953376
58	273.868242213295
58.5	280.357864853119
59	286.615001885805
59.5	292.595245952493
60	298.250364848059
60.5	303.534508293538
61	308.400125059962
61.5	312.805313944632
62	316.712122398244
62.5	320.085826052951
63	322.898823127307
63.5	325.13085217186
64	326.769689760617
64.5	327.811123896917
65	328.25741716569
65.5	328.12104937765
66	327.421758376394
66.5	326.18451275246
67	324.440258163579
67.5	322.224804486573
68	319.578355039134
68.5	316.541204603954
69	313.153615098421
69.5	309.460363396736
70	305.501223939021
70.5	301.317179548329
71	296.945094029873
71.5	292.419749281747
72	287.77329144528
72.5	283.037027279047
73	278.235633789797
73.5	273.394521576494
74	268.534265094792
74.5	263.67534018882
75	258.833190346601
75.5	254.020638609228
76	249.251858995756
76.5	244.536743069503
77	239.88406434086
77.5	235.300933734569
78	230.793391614578
78.5	226.367054249155
79	222.024257223304
79.5	217.770628764211
80	213.606708894267
80.5	209.535252027529
81	205.558308100548
81.5	201.675120031227
82	197.887269769533
82.5	194.195283385153
83	190.598003306042
83.5	187.096016585736
84	183.687917538443
84.5	180.374542976025
85	177.155526150442
85.5	174.028764038133
86	170.993995947109
86.5	168.050165331338
87	165.19681992826
87.5	162.433939502063
88	159.759573563402
88.5	157.172881811208
89	154.671925741584
89.5	152.258979808253
90	149.93010488571
