#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: R-in (real)
#Freq [MHz]	R-in (real) [ohm]
20	1.35883
20.5	1.3488
21	1.35444
21.5	1.3772
22	1.4182
22.5	1.4783
23	1.55816
23.5	1.65838
24	1.77937
24.5	1.92154
25	2.0853
25.5	2.27108
26	2.47946
26.5	2.71098
27	2.9663
27.5	3.24622
28	3.55159
28.5	3.8834
29	4.24275
29.5	4.6308
30	5.04884
30.5	5.49834
31	5.98083
31.5	6.49804
32	7.05167
32.5	7.64373
33	8.27628
33.5	8.95149
34	9.67165
34.5	10.4391
35	11.2566
35.5	12.1267
36	13.0525
36.5	14.0369
37	15.0834
37.5	16.1954
38	17.3766
38.5	18.6311
39	19.9631
39.5	21.3772
40	22.8783
40.5	24.4713
41	26.1619
41.5	27.9562
42	29.8607
42.5	31.8823
43	34.0287
43.5	36.3078
44	38.7285
44.5	41.3002
45	44.0331
45.5	46.9378
46	50.0258
46.5	53.3093
47	56.8008
47.5	60.5143
48	64.4636
48.5	68.6635
49	73.1291
49.5	77.8756
50	82.9185
50.5	88.2736
51	93.9552
51.5	99.9783
52	106.355
52.5	113.097
53	120.213
53.5	127.711
54	135.592
54.5	143.854
55	152.49
55.5	161.487
56	170.823
56.5	180.467
57	190.383
57.5	200.52
58	210.818
58.5	221.207
59	231.605
59.5	241.925
60	252.066
60.5	261.925
61	271.391
61.5	280.356
62	288.715
62.5	296.366
63	303.219
63.5	309.197
64	314.238
64.5	318.3
65	321.357
65.5	323.405
66	324.459
66.5	324.55
67	323.725
67.5	322.044
68	319.578
68.5	316.403
69	312.598
69.5	308.248
70	303.433
70.5	298.233
71	292.722
71.5	286.969
72	281.037
72.5	274.985
73	268.862
73.5	262.714
74	256.579
74.5	250.492
75	244.48
75.5	238.565
76	232.768
76.5	227.104
77	221.585
77.5	216.22
78	211.016
78.5	205.978
79	201.107
79.5	196.407
80	191.876
80.5	187.514
81	183.32
81.5	179.29
82	175.422
82.5	171.713
83	168.158
83.5	164.754
84	161.496
84.5	158.381
85	155.405
85.5	152.562
86	149.849
86.5	147.261
87	144.794
87.5	142.445
88	140.209
88.5	138.082
89	136.059
89.5	134.14
90	132.318
