#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: Refl-coef(Z0 = 50 ohm)
#Freq [MHz]	Refl-coef [dB]
20	-8.14160448374113E-02
20.5	-0.087967702041454
21	-9.61872440856212E-02
21.5	-0.106536109684016
22	-0.11955135422153
22.5	-0.135853896374462
23	-0.156163905916491
23.5	-0.181323744163123
24	-0.212296902916296
24.5	-0.250195880415668
25	-0.296290149757398
25.5	-0.35201036260721
26	-0.418955860926892
26.5	-0.498835523034705
27	-0.59343352135648
27.5	-0.70451679854742
28	-0.833668838694101
28.5	-0.982099123494165
29	-1.15038033266518
29.5	-1.33811937129555
30	-1.54366948359171
30.5	-1.76389532003029
31	-1.99401130344193
31.5	-2.22773746351161
32	-2.45760548700526
32.5	-2.67574116798721
33	-2.87462617910043
33.5	-3.04798688480228
34	-3.19149073115839
34.5	-3.30307030034697
35	-3.38299653669085
35.5	-3.4333129895605
36	-3.45745746321915
36.5	-3.45947796816817
37	-3.44368488503389
37.5	-3.41411411531567
38	-3.37437824745269
38.5	-3.3275872049816
39	-3.27624145635248
39.5	-3.22234249404299
40	-3.16742091871795
40.5	-3.11258170484485
41	-3.05872202742788
41.5	-3.00641046007585
42	-2.95609292586515
42.5	-2.90801437749607
43	-2.86235976967453
43.5	-2.81920091040386
44	-2.77857739997646
44.5	-2.74048314478305
45	-2.70486317777765
45.5	-2.67170625522413
46	-2.64085628497756
46.5	-2.61229205449449
47	-2.58592737293238
47.5	-2.56169192573922
48	-2.53947352124176
48.5	-2.51924508348301
49	-2.5008612520486
49.5	-2.4843137905329
50	-2.46948017786686
50.5	-2.4563358934753
51	-2.4447923522352
51.5	-2.43476306361765
52	-2.42626567641032
52.5	-2.4191723174728
53	-2.413464330694
53.5	-2.40912130779717
54	-2.40604984376461
54.5	-2.40423396733964
55	-2.40361997014842
55.5	-2.4042052329153
56	-2.40591896336004
56.5	-2.40875199660476
57	-2.41266922295229
57.5	-2.41764184943878
58	-2.42364960939619
58.5	-2.43065505924605
59	-2.43865684480055
59.5	-2.44763854044562
60	-2.45757406817401
60.5	-2.46844883366032
61	-2.48025894679902
61.5	-2.49298965572497
62	-2.50662968018922
62.5	-2.5211703272619
63	-2.5366105796517
63.5	-2.55294678269255
64	-2.57016535207931
64.5	-2.5882744640149
65	-2.60728471612879
65.5	-2.62719281404617
66	-2.64799948825927
66.5	-2.66971647884478
67	-2.69235586354521
67.5	-2.71592608099448
68	-2.74042693331472
68.5	-2.76587739857721
69	-2.79230745259004
69.5	-2.8197087482895
70	-2.848111731284
70.5	-2.87752283211501
71	-2.90797144254739
71.5	-2.93948395752438
72	-2.97208615007609
72.5	-3.00578776820061
73	-3.04064052869165
73.5	-3.0766573712924
74	-3.11387633615817
74.5	-3.15231138101493
75	-3.19200456124538
75.5	-3.2330068584992
76	-3.27532876330646
76.5	-3.31901386682108
77	-3.36409750961088
77.5	-3.41061996930656
78	-3.45862456970358
78.5	-3.50813533382108
79	-3.55920959121541
79.5	-3.6118533907024
80	-3.66612679520398
80.5	-3.72205206732536
81	-3.77965220638951
81.5	-3.83898728013156
82	-3.90006863076549
82.5	-3.96292015686432
83	-4.02758114395054
83.5	-4.09406102043593
84	-4.1623982653264
84.5	-4.232574415401
85	-4.30458882718939
85.5	-4.37845757110299
86	-4.45418869527791
86.5	-4.53175516796701
87	-4.61111623738785
87.5	-4.69222733137173
88	-4.77507309263956
88.5	-4.85959371187243
89	-4.94574563224069
89.5	-5.03339200312942
90	-5.12250836820717
