#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: X-in (imag)
#Freq [MHz]	X-in (imag) [ohm]
20	-109.523
20.5	-104.003
21	-98.6383
21.5	-93.4183
22	-88.3314
22.5	-83.3677
23	-78.5178
23.5	-73.7732
24	-69.1258
24.5	-64.5681
25	-60.0931
25.5	-55.694
26	-51.3645
26.5	-47.0987
27	-42.8909
27.5	-38.7357
28	-34.628
28.5	-30.5631
29	-26.5363
29.5	-22.5434
30	-18.5803
30.5	-14.6429
31	-10.7275
31.5	-6.83048
32	-2.94844
32.5	0.921882
33	4.78362
33.5	8.63978
34	12.4931
34.5	16.3463
35	20.202
35.5	24.0624
36	27.9301
36.5	31.8072
37	35.696
37.5	39.5985
38	43.5167
38.5	47.4523
39	51.4071
39.5	55.3827
40	59.3807
40.5	63.4026
41	67.449
41.5	71.5216
42	75.6206
42.5	79.7468
43	83.9002
43.5	88.0805
44	92.287
44.5	96.5183
45	100.773
45.5	105.047
46	109.339
46.5	113.643
47	117.953
47.5	122.262
48	126.562
48.5	130.841
49	135.089
49.5	139.289
50	143.426
50.5	147.479
51	151.426
51.5	155.243
52	158.897
52.5	162.359
53	165.591
53.5	168.552
54	171.2
54.5	173.486
55	175.36
55.5	176.766
56	177.65
56.5	177.953
57	177.618
57.5	176.589
58	174.813
58.5	172.244
59	168.841
59.5	164.573
60	159.424
60.5	153.39
61	146.484
61.5	138.736
62	130.193
62.5	120.922
63	111.004
63.5	100.535
64	89.6265
64.5	78.3916
65	66.9523
65.5	55.4313
66	43.9473
66.5	32.6134
67	21.5315
67.5	10.7929
68	0.476367
68.5	-9.35285
69	-18.6461
69.5	-27.3658
70	-35.4882
70.5	-43.0014
71	-49.9021
71.5	-56.197
72	-61.9005
72.5	-67.0314
73	-71.6121
73.5	-75.6698
74	-79.233
74.5	-82.3313
75	-84.995
75.5	-87.2538
76	-89.1378
76.5	-90.6752
77	-91.8937
77.5	-92.8194
78	-93.4764
78.5	-93.8888
79	-94.0784
79.5	-94.0656
80	-93.8692
80.5	-93.5068
81	-92.9946
81.5	-92.3469
82	-91.5778
82.5	-90.6998
83	-89.7245
83.5	-88.6625
84	-87.5231
84.5	-86.3159
85	-85.0492
85.5	-83.7308
86	-82.3664
86.5	-80.9633
87	-79.5279
87.5	-78.0654
88	-76.5804
88.5	-75.0778
89	-73.5619
89.5	-72.0365
90	-70.5052
