#LWA_DUAL_0-90DEG-DRIVE_300X300X1CMGRID_SYMBOLS: Z-in (phase)
#Freq [MHz]	Z-in (phase) [degrees]
20	-89.2891791703391
20.5	-89.2569809024037
21	-89.2132993092705
21.5	-89.1553899844761
22	-89.0801697524903
22.5	-88.9841212487368
23	-88.863133260422
23.5	-88.7122400186339
24	-88.5254726504754
24.5	-88.2953866203409
25	-88.0125677324061
25.5	-87.6648966411271
26	-87.2363713452953
26.5	-86.7057155783255
27	-86.0437696848737
27.5	-85.2095584433641
28	-84.143985994729
28.5	-82.7587029147411
29	-80.9161610579283
29.5	-78.3919410400854
30	-74.798035146875
30.5	-69.4190794048056
31	-60.8593197520901
31.5	-46.4287753324935
32	-22.6907506947982
32.5	6.87701629939542
33	30.0275498515622
33.5	43.9848488159549
34	52.2544202538172
34.5	57.4368202426327
35	60.8733493856001
35.5	63.2533191999338
36	64.9520289601907
36.5	66.1875552645975
37	67.093436196825
37.5	67.755917549746
38	68.2327404578233
38.5	68.5636398405312
39	68.7771399177022
39.5	68.8938818963359
40	68.929236581906
40.5	68.8950662053603
41	68.7998840324846
41.5	68.6505788912094
42	68.4521654790897
42.5	68.2087613194595
43	67.923241535008
43.5	67.5979773667648
44	67.2345054302382
44.5	66.8339081736693
45	66.3969163984725
45.5	65.9236349905581
46	65.4145154380769
46.5	64.8689872046644
47	64.286649197022
47.5	63.666618843794
48	63.0082524645539
48.5	62.3101486227075
49	61.5715373897656
49.5	60.7907201058586
50	59.9666166423446
50.5	59.0973572171524
51	58.1816641580259
51.5	57.2179931003454
52	56.2043004061038
52.5	55.1394723798107
53	54.0217248310502
53.5	52.8489743938349
54	51.620447019459
54.5	50.3345931485736
55	48.9903468610633
55.5	47.586311285333
56	46.1223488022452
56.5	44.5981272596757
57	43.0133545812318
57.5	41.3689300085863
58	39.6659596938035
58.5	37.9062971169476
59	36.0922032326523
59.5	34.2260655322697
60	32.312095628295
60.5	30.3543343255361
61	28.3580707656253
61.5	26.328807608302
62	24.2724945095662
62.5	22.1962338538075
63	20.1069325532279
63.5	18.0118667766075
64	15.9191314324048
64.5	13.8355806397246
65	11.7687887454956
65.5	9.72593369829475
66	7.7136514203068
66.5	5.73827872875626
67	3.80523508026503
67.5	1.91947763738995
68	8.54057487824168E-02
68.5	-1.6931660934209
69	-3.41358065169262
69.5	-5.07333347318438
70	-6.67075898969052
70.5	-8.20477447050704
71	-9.67455460312649
71.5	-11.079988512772
72	-12.4214889520481
72.5	-13.69946559674
73	-14.9146172833486
73.5	-16.0680454581247
74	-17.1609744294528
74.5	-18.194575309237
75	-19.1703268471631
75.5	-20.0897072241919
76	-20.9541900246994
76.5	-21.7652099619248
77	-22.5243147625244
77.5	-23.2329871956288
78	-23.892505493738
78.5	-24.5044261440978
79	-25.0703205154885
79.5	-25.5912524093483
80	-26.0687141484056
80.5	-26.5038587167372
81	-26.8977767280683
81.5	-27.2516372141708
82	-27.5664880815667
82.5	-27.8432733424203
83	-28.0831586120993
83.5	-28.2869526255111
84	-28.4555723794855
84.5	-28.5898973526094
85	-28.69076532941
85.5	-28.7593581048559
86	-28.7959523703259
86.5	-28.8017568278533
87	-28.7777293158045
87.5	-28.7244549785779
88	-28.6428144187255
88.5	-28.5337634962398
89	-28.3983945714516
89.5	-28.2368991401358
90	-28.0507718273845
